"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 16 04:07:25 UTC 2026","Mon Feb 16 04:07:30 UTC 2026","5646","","","","","","[QA] Authenticate as Customer User",""
"passed","Mon Feb 16 04:07:47 UTC 2026","Mon Feb 16 04:07:50 UTC 2026","2700","","","","","","[QA] Verify Successful login for Customer User (via auth setup)",""
"passed","Mon Feb 16 04:07:53 UTC 2026","Mon Feb 16 04:07:56 UTC 2026","2413","","","","","","[QA] Login Page: Verify presence of all options on right side panel",""
"passed","Mon Feb 16 04:07:31 UTC 2026","Mon Feb 16 04:07:37 UTC 2026","5838","","","","","","[QA] Verify Successful login for Admin User",""
"passed","Mon Feb 16 04:07:18 UTC 2026","Mon Feb 16 04:07:24 UTC 2026","6320","","","","","","[QA] Authenticate as Admin User",""
"passed","Mon Feb 16 04:07:44 UTC 2026","Mon Feb 16 04:07:47 UTC 2026","2742","","","","","","[QA] Verify Successful login for Admin User (via auth setup)",""
"passed","Mon Feb 16 04:07:50 UTC 2026","Mon Feb 16 04:07:53 UTC 2026","3337","","","","","","[QA] Verify Invalid Login",""
"passed","Mon Feb 16 04:07:41 UTC 2026","Mon Feb 16 04:07:44 UTC 2026","3305","","","","","","[QA] Verify Successful login for Customer User",""
